full_model_name,duration,emissions,emissions_rate,energy_consumed,gpu_energy,experiment_name,model_name,accuracy,auroc,mcc,f1,precision,recall,carbon_emissions,model_size,model_id
EuroSAT_convnext_small_224,23511.33730697632,0.0261275531374089,1.111274650024113e-06,0.1272843669419738,0.0840744770056159,EuroSAT,convnext_small_224,0.951080982044705,,0.9455618443027786,0.9511105925032396,0.9513162593683896,0.951080982044705,0.0261275531374089,Small,convnext
PublicHarvestNet_convnext_small_224,15985.550091028214,0.0174675887827586,1.0927111474607476e-06,0.0850960274972251,0.0552017806493953,PublicHarvestNet,convnext_small_224,0.7839595375722543,0.4950023156919708,0.563190824581882,0.7506255212677231,0.7908611599297012,0.7142857142857143,0.0174675887827586,Small,convnext
EuroSAT_convnext_tiny_224,14560.75233411789,0.0162836396942154,1.1183240618728593e-06,0.0793282386256759,0.0485159473770525,EuroSAT,convnext_tiny_224,0.95950897764749,,0.954928874531357,0.9595170214964992,0.9595808770748624,0.95950897764749,0.0162836396942154,Tiny,convnext
PublicHarvestNet_convnext_tiny_224,9783.975708961489,0.0112179267034501,1.146561176881831e-06,0.0546498438388292,0.0332172486104659,PublicHarvestNet,convnext_tiny_224,0.7752890173410405,0.4537745779125089,0.5461019134050045,0.7497988736926791,0.7601957585644372,0.7396825396825397,0.0112179267034501,Tiny,convnext
EuroSAT_swinv2_small_patch4_window8_256,7248.966017007828,0.0086261523489079,1.1899838306137588e-06,0.0420236190928918,0.0174791444185632,EuroSAT,swinv2_small_patch4_window8_256,0.9857090509344082,,0.98409703758057,0.9857082190991509,0.985783004797475,0.9857090509344082,0.0086261523489079,Small,swinv2
EuroSAT_swinv2_tiny_patch4_window16_256,5489.837448120117,0.0064818209363054,1.1806945100942794e-06,0.0315771810000683,0.0130962940244244,EuroSAT,swinv2_tiny_patch4_window16_256,0.9829607914987176,,0.9810438211805104,0.9829597920785998,0.9831021927278648,0.9829607914987176,0.0064568830205667,Tiny,swinv2
PublicHarvestNet_swinv2_small_patch4_window8_256,5110.552305936813,0.0058960861505259,1.1537082095171251e-06,0.0287236845011144,0.0114691306777621,PublicHarvestNet,swinv2_small_patch4_window8_256,0.8323699421965318,0.5026598880047156,0.6613393293852308,0.8107667210440457,0.8338926174496645,0.7888888888888889,0.0058960861505259,Small,swinv2
PublicHarvestNet_swinv2_tiny_patch4_window16_256,3865.618567943573,0.0044860978244551,1.1605122816971688e-06,0.0218547109491082,0.0088571313642981,PublicHarvestNet,swinv2_tiny_patch4_window16_256,0.8316473988439307,0.4928329333501747,0.6606150789489089,0.8152260111022998,0.8145800316957211,0.8158730158730159,0.0044860978244551,Tiny,swinv2
EuroSAT_vit_small_patch16_224,2316.9353578090668,0.002645729579564,1.1419091044757932e-06,0.0128890758680459,0.0050719552966428,EuroSAT,vit_small_patch16_224,0.9847929644558446,,0.9830813101247518,0.9848169851398524,0.984918807689902,0.9847929644558446,0.002645729579564,Small,vit
Kenya_Roads_convnext_small_224,2167.8053669929504,0.0023708116435771,1.0936459885537655e-06,0.0115497711402341,0.0075785890100657,Kenya_Roads,convnext_small_224,0.8929860752965446,0.5564813143166636,0.1629670054614757,0.9430023348441148,0.9919098526437444,0.8986910994764398,0.0023708116435771,Small,convnext
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,0.0105295777872945,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.978188419042214,0.9803785920451796,0.980515366594464,0.9803957493587394,0.0021613974265782,Small,deit
PublicHarvestNet_vit_small_patch16_224,1775.1716570854187,0.0018699864945763,1.053411644509124e-06,0.0091099249095544,0.0030504291035452,PublicHarvestNet,vit_small_patch16_224,0.8106936416184971,0.5575849437918403,0.6194300365369957,0.7949921752738655,0.7839506172839507,0.8063492063492064,0.0018699864945763,Small,vit
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,0.007950926769802,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.6059092330404017,0.7908045977011495,0.7644444444444445,0.819047619047619,0.0016320799377063,Small,deit
Kenya_Roads_convnext_tiny_224,1302.7615020275116,0.0015165786079229,1.1641260549706414e-06,0.0073882443951791,0.0046162530547314,Kenya_Roads,convnext_tiny_224,0.9002062919030428,0.6036243004152375,0.1774690892787708,0.9470370877241002,0.9922569544020649,0.9057591623036648,0.0015165786079229,Tiny,convnext
EuroSAT_vit_tiny_patch16_224,1762.7109932899475,0.0014911885924397,8.459631772401918e-07,0.0072645530556028,0.0011110604501692,EuroSAT,vit_tiny_patch16_224,0.9780139245144742,,0.9755289277567848,0.9780021771742684,0.9780547578817348,0.9780139245144742,0.0014886746956823,Tiny,vit
EuroSAT_deit_tiny_patch16_224,1559.2222290039062,0.0012968738271363,8.317440599630638e-07,0.0063179189885301,0.0009176159190981,EuroSAT,deit_tiny_patch16_224,0.9730670575302308,,0.9700330986844152,0.9730969684310796,0.9732933579932274,0.9730670575302308,0.0012968738271363,Tiny,deit
PublicHarvestNet_vit_tiny_patch16_224,1378.2784008979795,0.0011374161897726,8.252441517124608e-07,0.0055410967457751,0.0007330866028817,PublicHarvestNet,vit_tiny_patch16_224,0.8041907514450867,0.5291029851374679,0.6053727123820855,0.7854315122723674,0.7835703001579779,0.7873015873015873,0.0011374161897726,Tiny,vit
PublicHarvestNet_deit_tiny_patch16_224,1254.514769077301,0.0010328136616617,8.232774034389167e-07,0.0050315095486462,0.0006191099735479,PublicHarvestNet,deit_tiny_patch16_224,0.7817919075144508,0.567069807587049,0.5592093670677304,0.7568438003220612,0.7679738562091504,0.746031746031746,0.0010328136616617,Tiny,deit
Kenya_Roads_swinv2_small_patch4_window8_256,667.8474638462067,0.0008048081789264,1.2050778396185211e-06,0.0039207460042521,0.0016352939074114,Kenya_Roads,swinv2_small_patch4_window8_256,0.8488911810211449,0.4882424625383643,0.2129012998123581,0.9172082509183388,0.996316758747698,0.849738219895288,0.0008048081789264,Small,swinv2
Kenya_Roads_swinv2_tiny_patch4_window16_256,501.6149628162384,0.0005890008700166,1.1742091318604437e-06,0.002869407727316,0.001212216534226,Kenya_Roads,swinv2_tiny_patch4_window16_256,0.8589479112944817,0.4495396280917133,0.2275508110927821,0.9231201686577652,0.9966616084977238,0.8596858638743455,0.0005890008700166,Tiny,swinv2
Kenya_Roads_vit_small_patch16_224,216.244708776474,0.0002442943097271,1.1297123111561444e-06,0.001190117053733,0.0004759276484109,Kenya_Roads,vit_small_patch16_224,0.797576070139247,0.3944597400252753,0.20488356228596,0.8856851609145188,0.9980308500164096,0.7960732984293194,0.0002442943097271,Small,vit
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,0.0010531021066231,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.1811648080243213,0.905224093634028,0.995291902071563,0.8301047120418849,0.0002161693687211,Small,deit
Kenya_Roads_vit_tiny_patch16_224,160.63765501976013,0.0001513100637471,9.41933967652546e-07,0.0007371300930752,0.0001909227135861,Kenya_Roads,vit_tiny_patch16_224,0.8329035585353275,0.4448930312330746,0.1893894017371556,0.9076923076923078,0.995625,0.8340314136125655,0.0001513100637471,Tiny,vit
Kenya_Roads_deit_tiny_patch16_224,141.6328101158142,0.0001338958249095,9.453729315970124e-07,0.0006522939679865,0.0001567539688115,Kenya_Roads,deit_tiny_patch16_224,0.890149561629706,0.5815129084672322,0.2333097248134148,0.941208942865029,0.9953298307063632,0.8926701570680629,0.0001338958249095,Tiny,deit
