full_model_name,duration,emissions,emissions_rate,energy_consumed,gpu_energy,experiment_name,model_name,accuracy,auroc,mcc,f1,precision,recall,carbon_emissions,model_size,model_id,Priority,utility,Theory
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.56495841918394e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.172548967847968e-07,Small,deit,Balanced_Weights,0.2335012417384126,BPT
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.56495841918394e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.172548967847968e-07,Small,deit,Accuracy_Focused,0.4812347629827359,BPT
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.56495841918394e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.172548967847968e-07,Small,deit,Environment_Focused,0.1371604279211757,BPT
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.56495841918394e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.172548967847968e-07,Small,deit,Energy_Efficiency_Priority,0.2060282889138807,BPT
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.56495841918394e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.172548967847968e-07,Small,deit,Carbon_Emissions_Priority,0.2059223009530947,BPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Balanced_Weights,0.2000240516034123,BPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Accuracy_Focused,0.4124255358989351,BPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Environment_Focused,0.1174234743773756,BPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Energy_Efficiency_Priority,0.1764890809837435,BPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Carbon_Emissions_Priority,0.1763586923796316,BPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Balanced_Weights,0.1567610564243602,BPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Accuracy_Focused,0.3244006116448248,BPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Environment_Focused,0.0915678960608461,BPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Energy_Efficiency_Priority,0.1383111798975761,BPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Carbon_Emissions_Priority,0.1379576984577075,BPT
