full_model_name,duration,emissions,emissions_rate,energy_consumed,gpu_energy,experiment_name,model_name,accuracy,auroc,mcc,f1,precision,recall,carbon_emissions,model_size,model_id,Priority,cpt_value,Theory
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.564958419183939e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.1725489678479676e-07,Small,deit,Balanced_Weights,0.3367328400981751,CPT
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.564958419183939e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.1725489678479676e-07,Small,deit,Accuracy_Focused,0.6932767084955055,CPT
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.564958419183939e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.1725489678479676e-07,Small,deit,Environment_Focused,0.19807689127699102,CPT
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.564958419183939e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.1725489678479676e-07,Small,deit,Energy_Efficiency_Priority,0.29711740320295743,CPT
EuroSAT_deit_small_patch16_224,2002.8234512805936,0.0021613974265782,1.0791752139691748e-06,8.564958419183939e-08,0.0036415495049248,EuroSAT,deit_small_patch16_224,0.9803957493587394,,0.989094209521107,0.9803785920451796,0.980515366594464,0.9803957493587394,4.1725489678479676e-07,Small,deit,Carbon_Emissions_Priority,0.2971163062384303,CPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Balanced_Weights,0.2802867231092267,CPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Accuracy_Focused,0.5770655290154999,CPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Environment_Focused,0.1648727430345649,CPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Energy_Efficiency_Priority,0.2473120900593887,CPT
PublicHarvestNet_deit_small_patch16_224,1613.36732006073,0.0016320799377063,1.011598485610169e-06,1.2962584285260813e-07,0.0024071204364763,PublicHarvestNet,deit_small_patch16_224,0.8027456647398844,0.6006852343059239,0.8029546165202008,0.7908045977011495,0.7644444444444445,0.819047619047619,6.314917810933887e-07,Small,deit,Carbon_Emissions_Priority,0.24731051040211507,CPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Balanced_Weights,0.21388083494698099,CPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Accuracy_Focused,0.4403696714159097,CPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Environment_Focused,0.12580184298684202,CPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Energy_Efficiency_Priority,0.18871997783897024,CPT
Kenya_Roads_deit_small_patch16_224,190.4569489955902,0.0002161693687211,1.1350038413464672e-06,9.52682269123348e-07,0.0004121280601645,Kenya_Roads,deit_small_patch16_224,0.8287777204744714,0.5638021303484384,0.5905824040121607,0.905224093634028,0.995291902071563,0.8301047120418849,4.641120108658053e-06,Small,deit,Carbon_Emissions_Priority,0.18871083950634085,CPT
